58,135,4,4
58,135,2,6
58,135,4,10
59,135,4,14
59,135,3,17
59,135,3,20
60,135,4,24
60,135,3,27
60,135,4,31
61,135,3,34
61,135,3,37
62,135,3,40
62,135,6,46
63,135,4,50
63,135,3,53
64,135,3,56
64,135,3,59
65,135,4,63
65,135,2,65
66,135,4,69
68,135,18,87
68,135,2,89
69,135,6,95
69,135,4,99
70,135,3,102
70,135,4,106
70,135,3,109
71,135,4,113
71,135,2,115
72,135,3,118
72,135,4,122
72,135,3,125
73,135,3,128
73,135,5,133
74,135,2,135
74,135,4,139
74,135,4,143
74,135,4,147
75,135,2,149
75,135,4,153
75,135,2,155
75,135,4,159
76,135,3,162
76,135,5,167
76,135,2,169
76,135,5,174
76,135,3,177
75,135,3,180
75,135,3,183
75,135,6,189
75,135,9,198
74,135,7,205
73,135,3,208
73,135,3,211
72,135,5,216
72,135,3,219
71,135,3,222
71,135,3,225
70,135,3,228
70,135,4,232
69,135,4,236
69,135,3,239
68,135,3,242
68,135,5,247
67,135,3,250
67,135,3,253
66,135,2,255
66,135,4,259
66,135,4,263
65,135,3,266
64,135,4,270
64,135,5,275
64,135,3,278
63,135,5,283
62,135,2,285
62,135,4,289
62,135,3,292
61,135,4,296
61,135,2,298
60,135,4,302
60,135,4,306
59,135,4,310
59,135,3,313
58,135,5,318
58,135,2,320
58,135,4,324
58,135,3,327
57,135,4,331
57,135,3,334
57,135,4,338
57,135,3,341
57,135,3,344
57,135,4,348
57,135,3,351
57,135,3,354
57,135,5,359
58,135,2,361
58,135,4,365
58,135,4,369
58,135,6,375
59,135,4,379
59,135,2,381
60,135,4,385
60,135,6,391
61,135,4,395
62,135,6,401
62,135,4,405
62,135,3,408
63,135,3,411
64,135,4,415
64,135,4,419
64,135,2,421
65,135,4,425
65,135,3,428
66,135,4,432
66,135,3,435
67,135,4,439
68,135,4,443
68,135,2,445
68,135,4,449
69,135,3,452
69,135,3,455
70,135,4,459
70,135,2,461
70,135,4,465
71,135,3,468
71,135,3,471
72,135,3,474
72,135,5,479
72,135,2,481
73,135,5,486
73,135,3,489
74,135,4,493
74,135,6,499
75,135,2,501
75,135,4,505
75,135,3,508
76,135,4,512
76,135,3,515
76,136,4,519
76,136,3,522
76,136,3,525
76,136,4,529
76,136,3,532
76,136,3,535
76,136,4,539
76,136,2,541
75,136,4,545
75,136,3,548
75,136,4,552
74,136,3,555
74,137,4,559
74,137,4,563
73,137,2,565
73,137,4,569
72,137,3,572
72,137,3,575
72,137,4,579
71,137,2,581
70,137,4,585
70,137,3,588
70,137,3,591
68,137,11,602
68,137,3,605
67,137,4,609
66,137,2,611
66,137,4,615
66,137,3,618
65,137,4,622
64,137,3,625
64,137,5,630
64,136,2,632
63,136,5,637
63,136,3,640
62,136,3,643
62,136,9,652
60,136,7,659
60,136,4,663
60,136,2,665
59,136,5,670
59,136,3,673
58,136,4,677
58,136,3,680
58,136,4,684
57,136,4,688
57,136,5,693
